site_id,well_id,cell_type,experiment,plate,well,site,disease_condition,treatment,treatment_conc,SMILES
VERO-1_1_AA11_4,VERO-1_1_AA11,VERO,VERO-1,1,AA11,4,Active SARS-CoV-2,Oseltamivir carboxylate,1.0,"CCC(CC)O[C@@H]1C=C(C[C@H](N)[C@H]1NC(C)=O)C(O)=O |r,c:7|"
VERO-1_1_AA12_1,VERO-1_1_AA12,VERO,VERO-1,1,AA12,1,Active SARS-CoV-2,Quinine,0.003,"COC1=CC2=C(C=CN=C2C=C1)[C@@H](O)[C@@H]1C[C@@H]2CCN1C[C@@H]2C=C |c:6,8,11,t:2,4|"
VERO-1_1_AA12_2,VERO-1_1_AA12,VERO,VERO-1,1,AA12,2,Active SARS-CoV-2,Quinine,0.003,"COC1=CC2=C(C=CN=C2C=C1)[C@@H](O)[C@@H]1C[C@@H]2CCN1C[C@@H]2C=C |c:6,8,11,t:2,4|"
VERO-1_1_AA12_3,VERO-1_1_AA12,VERO,VERO-1,1,AA12,3,Active SARS-CoV-2,Quinine,0.003,"COC1=CC2=C(C=CN=C2C=C1)[C@@H](O)[C@@H]1C[C@@H]2CCN1C[C@@H]2C=C |c:6,8,11,t:2,4|"
VERO-1_1_AA12_4,VERO-1_1_AA12,VERO,VERO-1,1,AA12,4,Active SARS-CoV-2,Quinine,0.003,"COC1=CC2=C(C=CN=C2C=C1)[C@@H](O)[C@@H]1C[C@@H]2CCN1C[C@@H]2C=C |c:6,8,11,t:2,4|"
VERO-1_1_AA13_1,VERO-1_1_AA13,VERO,VERO-1,1,AA13,1,Active SARS-CoV-2,ML-9,3.0,"ClC1=CC=CC2=C(C=CC=C12)S(=O)(=O)N1CCCNCC1 |c:3,7,t:1,5,9|"
VERO-1_1_AA13_2,VERO-1_1_AA13,VERO,VERO-1,1,AA13,2,Active SARS-CoV-2,ML-9,3.0,"ClC1=CC=CC2=C(C=CC=C12)S(=O)(=O)N1CCCNCC1 |c:3,7,t:1,5,9|"
VERO-1_1_AA13_3,VERO-1_1_AA13,VERO,VERO-1,1,AA13,3,Active SARS-CoV-2,ML-9,3.0,"ClC1=CC=CC2=C(C=CC=C12)S(=O)(=O)N1CCCNCC1 |c:3,7,t:1,5,9|"
VERO-1_1_AA13_4,VERO-1_1_AA13,VERO,VERO-1,1,AA13,4,Active SARS-CoV-2,ML-9,3.0,"ClC1=CC=CC2=C(C=CC=C12)S(=O)(=O)N1CCCNCC1 |c:3,7,t:1,5,9|"
VERO-1_1_AA14_1,VERO-1_1_AA14,VERO,VERO-1,1,AA14,1,Active SARS-CoV-2,Penciclovir,0.003,"NC1=NC(=O)C2=C(N1)N(CCC(CO)CO)C=N2 |c:5,17,t:1|"
VERO-1_1_AA14_2,VERO-1_1_AA14,VERO,VERO-1,1,AA14,2,Active SARS-CoV-2,Penciclovir,0.003,"NC1=NC(=O)C2=C(N1)N(CCC(CO)CO)C=N2 |c:5,17,t:1|"
VERO-1_1_AA14_3,VERO-1_1_AA14,VERO,VERO-1,1,AA14,3,Active SARS-CoV-2,Penciclovir,0.003,"NC1=NC(=O)C2=C(N1)N(CCC(CO)CO)C=N2 |c:5,17,t:1|"
VERO-1_1_AA14_4,VERO-1_1_AA14,VERO,VERO-1,1,AA14,4,Active SARS-CoV-2,Penciclovir,0.003,"NC1=NC(=O)C2=C(N1)N(CCC(CO)CO)C=N2 |c:5,17,t:1|"
VERO-1_1_AA15_1,VERO-1_1_AA15,VERO,VERO-1,1,AA15,1,Active SARS-CoV-2,Remdesivir (GS-5734),0.1,"CCC(CC)COC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@](C#N)([C@H](O)[C@@H]1O)C1=CC=C2N1N=CN=C2N)OC1=CC=CC=C1 |c:28,32,34,41,43,t:26,39|"
VERO-1_1_AA15_2,VERO-1_1_AA15,VERO,VERO-1,1,AA15,2,Active SARS-CoV-2,Remdesivir (GS-5734),0.1,"CCC(CC)COC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@](C#N)([C@H](O)[C@@H]1O)C1=CC=C2N1N=CN=C2N)OC1=CC=CC=C1 |c:28,32,34,41,43,t:26,39|"
VERO-1_1_AA15_3,VERO-1_1_AA15,VERO,VERO-1,1,AA15,3,Active SARS-CoV-2,Remdesivir (GS-5734),0.1,"CCC(CC)COC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@](C#N)([C@H](O)[C@@H]1O)C1=CC=C2N1N=CN=C2N)OC1=CC=CC=C1 |c:28,32,34,41,43,t:26,39|"
VERO-1_1_AA15_4,VERO-1_1_AA15,VERO,VERO-1,1,AA15,4,Active SARS-CoV-2,Remdesivir (GS-5734),0.1,"CCC(CC)COC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@](C#N)([C@H](O)[C@@H]1O)C1=CC=C2N1N=CN=C2N)OC1=CC=CC=C1 |c:28,32,34,41,43,t:26,39|"
VERO-1_1_AA16_1,VERO-1_1_AA16,VERO,VERO-1,1,AA16,1,UV Inactivated SARS-CoV-2,,,
VERO-1_1_AA16_2,VERO-1_1_AA16,VERO,VERO-1,1,AA16,2,UV Inactivated SARS-CoV-2,,,
VERO-1_1_AA16_3,VERO-1_1_AA16,VERO,VERO-1,1,AA16,3,UV Inactivated SARS-CoV-2,,,
VERO-1_1_AA16_4,VERO-1_1_AA16,VERO,VERO-1,1,AA16,4,UV Inactivated SARS-CoV-2,,,
VERO-1_1_AA17_1,VERO-1_1_AA17,VERO,VERO-1,1,AA17,1,Active SARS-CoV-2,Ribavirin,10.0,"NC(=O)C1=NN(C=N1)[C@H]1O[C@H](CO)[C@@H](O)[C@H]1O |c:6,t:3|"
VERO-1_1_AA17_2,VERO-1_1_AA17,VERO,VERO-1,1,AA17,2,Active SARS-CoV-2,Ribavirin,10.0,"NC(=O)C1=NN(C=N1)[C@H]1O[C@H](CO)[C@@H](O)[C@H]1O |c:6,t:3|"
VERO-1_1_AA17_3,VERO-1_1_AA17,VERO,VERO-1,1,AA17,3,Active SARS-CoV-2,Ribavirin,10.0,"NC(=O)C1=NN(C=N1)[C@H]1O[C@H](CO)[C@@H](O)[C@H]1O |c:6,t:3|"
VERO-1_1_AA17_4,VERO-1_1_AA17,VERO,VERO-1,1,AA17,4,Active SARS-CoV-2,Ribavirin,10.0,"NC(=O)C1=NN(C=N1)[C@H]1O[C@H](CO)[C@@H](O)[C@H]1O |c:6,t:3|"
VERO-1_1_AA18_1,VERO-1_1_AA18,VERO,VERO-1,1,AA18,1,Active SARS-CoV-2,Thymoquinone,3.0,"CC(C)C1=CC(=O)C(C)=CC1=O |c:8,t:3|"
VERO-1_1_AA18_2,VERO-1_1_AA18,VERO,VERO-1,1,AA18,2,Active SARS-CoV-2,Thymoquinone,3.0,"CC(C)C1=CC(=O)C(C)=CC1=O |c:8,t:3|"
VERO-1_1_AA18_3,VERO-1_1_AA18,VERO,VERO-1,1,AA18,3,Active SARS-CoV-2,Thymoquinone,3.0,"CC(C)C1=CC(=O)C(C)=CC1=O |c:8,t:3|"
VERO-1_1_AA18_4,VERO-1_1_AA18,VERO,VERO-1,1,AA18,4,Active SARS-CoV-2,Thymoquinone,3.0,"CC(C)C1=CC(=O)C(C)=CC1=O |c:8,t:3|"
VERO-1_1_AA19_1,VERO-1_1_AA19,VERO,VERO-1,1,AA19,1,Active SARS-CoV-2,,,
VERO-1_1_AA19_2,VERO-1_1_AA19,VERO,VERO-1,1,AA19,2,Active SARS-CoV-2,,,
VERO-1_1_AA19_3,VERO-1_1_AA19,VERO,VERO-1,1,AA19,3,Active SARS-CoV-2,,,
VERO-1_1_AA19_4,VERO-1_1_AA19,VERO,VERO-1,1,AA19,4,Active SARS-CoV-2,,,
VERO-1_1_AA20_1,VERO-1_1_AA20,VERO,VERO-1,1,AA20,1,Active SARS-CoV-2,solithromycin,1.0,"CC[C@H]1OC(=O)[C@@](C)(F)C(=O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@@](C)(C[C@@H](C)C(=O)[C@H](C)[C@H]2N(CCCCN3C=C(N=N3)C3=CC(N)=CC=C3)C(=O)O[C@]12C)OC |r,c:43,45,51,53,t:48|"
VERO-1_1_AA20_2,VERO-1_1_AA20,VERO,VERO-1,1,AA20,2,Active SARS-CoV-2,solithromycin,1.0,"CC[C@H]1OC(=O)[C@@](C)(F)C(=O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@@](C)(C[C@@H](C)C(=O)[C@H](C)[C@H]2N(CCCCN3C=C(N=N3)C3=CC(N)=CC=C3)C(=O)O[C@]12C)OC |r,c:43,45,51,53,t:48|"
VERO-1_1_AA20_3,VERO-1_1_AA20,VERO,VERO-1,1,AA20,3,Active SARS-CoV-2,solithromycin,1.0,"CC[C@H]1OC(=O)[C@@](C)(F)C(=O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@@](C)(C[C@@H](C)C(=O)[C@H](C)[C@H]2N(CCCCN3C=C(N=N3)C3=CC(N)=CC=C3)C(=O)O[C@]12C)OC |r,c:43,45,51,53,t:48|"
VERO-1_1_AA20_4,VERO-1_1_AA20,VERO,VERO-1,1,AA20,4,Active SARS-CoV-2,solithromycin,1.0,"CC[C@H]1OC(=O)[C@@](C)(F)C(=O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@@](C)(C[C@@H](C)C(=O)[C@H](C)[C@H]2N(CCCCN3C=C(N=N3)C3=CC(N)=CC=C3)C(=O)O[C@]12C)OC |r,c:43,45,51,53,t:48|"
VERO-1_1_AA21_1,VERO-1_1_AA21,VERO,VERO-1,1,AA21,1,Active SARS-CoV-2,Haloperidol,0.01,"OC1(CCN(CCCC(=O)C2=CC=C(F)C=C2)CC1)C1=CC=C(Cl)C=C1 |c:15,26,t:10,12,21,23|"
VERO-1_1_AA21_2,VERO-1_1_AA21,VERO,VERO-1,1,AA21,2,Active SARS-CoV-2,Haloperidol,0.01,"OC1(CCN(CCCC(=O)C2=CC=C(F)C=C2)CC1)C1=CC=C(Cl)C=C1 |c:15,26,t:10,12,21,23|"
VERO-1_1_AA21_3,VERO-1_1_AA21,VERO,VERO-1,1,AA21,3,Active SARS-CoV-2,Haloperidol,0.01,"OC1(CCN(CCCC(=O)C2=CC=C(F)C=C2)CC1)C1=CC=C(Cl)C=C1 |c:15,26,t:10,12,21,23|"
VERO-1_1_AA21_4,VERO-1_1_AA21,VERO,VERO-1,1,AA21,4,Active SARS-CoV-2,Haloperidol,0.01,"OC1(CCN(CCCC(=O)C2=CC=C(F)C=C2)CC1)C1=CC=C(Cl)C=C1 |c:15,26,t:10,12,21,23|"
VERO-1_1_AA22_1,VERO-1_1_AA22,VERO,VERO-1,1,AA22,1,Active SARS-CoV-2,Lopinavir,10.0,"CC(C)[C@H](N1CCCNC1=O)C(=O)N[C@H](C[C@H](O)[C@H](CC1=CC=CC=C1)NC(=O)COC1=C(C)C=CC=C1C)CC1=CC=CC=C1 |c:23,25,33,36,38,45,47,t:21,43|"
VERO-1_1_AA22_2,VERO-1_1_AA22,VERO,VERO-1,1,AA22,2,Active SARS-CoV-2,Lopinavir,10.0,"CC(C)[C@H](N1CCCNC1=O)C(=O)N[C@H](C[C@H](O)[C@H](CC1=CC=CC=C1)NC(=O)COC1=C(C)C=CC=C1C)CC1=CC=CC=C1 |c:23,25,33,36,38,45,47,t:21,43|"
VERO-1_1_AA22_3,VERO-1_1_AA22,VERO,VERO-1,1,AA22,3,Active SARS-CoV-2,Lopinavir,10.0,"CC(C)[C@H](N1CCCNC1=O)C(=O)N[C@H](C[C@H](O)[C@H](CC1=CC=CC=C1)NC(=O)COC1=C(C)C=CC=C1C)CC1=CC=CC=C1 |c:23,25,33,36,38,45,47,t:21,43|"
VERO-1_1_AA22_4,VERO-1_1_AA22,VERO,VERO-1,1,AA22,4,Active SARS-CoV-2,Lopinavir,10.0,"CC(C)[C@H](N1CCCNC1=O)C(=O)N[C@H](C[C@H](O)[C@H](CC1=CC=CC=C1)NC(=O)COC1=C(C)C=CC=C1C)CC1=CC=CC=C1 |c:23,25,33,36,38,45,47,t:21,43|"
VERO-1_1_AA23_1,VERO-1_1_AA23,VERO,VERO-1,1,AA23,1,Active SARS-CoV-2,,,
VERO-1_1_AA23_2,VERO-1_1_AA23,VERO,VERO-1,1,AA23,2,Active SARS-CoV-2,,,
VERO-1_1_AA23_3,VERO-1_1_AA23,VERO,VERO-1,1,AA23,3,Active SARS-CoV-2,,,
VERO-1_1_AA23_4,VERO-1_1_AA23,VERO,VERO-1,1,AA23,4,Active SARS-CoV-2,,,
VERO-1_1_AA24_1,VERO-1_1_AA24,VERO,VERO-1,1,AA24,1,UV Inactivated SARS-CoV-2,,,
VERO-1_1_AA24_2,VERO-1_1_AA24,VERO,VERO-1,1,AA24,2,UV Inactivated SARS-CoV-2,,,
VERO-1_1_AA24_3,VERO-1_1_AA24,VERO,VERO-1,1,AA24,3,UV Inactivated SARS-CoV-2,,,
VERO-1_1_AA24_4,VERO-1_1_AA24,VERO,VERO-1,1,AA24,4,UV Inactivated SARS-CoV-2,,,
VERO-1_1_AA25_1,VERO-1_1_AA25,VERO,VERO-1,1,AA25,1,Active SARS-CoV-2,Thymoquinone,10.0,"CC(C)C1=CC(=O)C(C)=CC1=O |c:8,t:3|"
VERO-1_1_AA25_2,VERO-1_1_AA25,VERO,VERO-1,1,AA25,2,Active SARS-CoV-2,Thymoquinone,10.0,"CC(C)C1=CC(=O)C(C)=CC1=O |c:8,t:3|"
VERO-1_1_AA25_3,VERO-1_1_AA25,VERO,VERO-1,1,AA25,3,Active SARS-CoV-2,Thymoquinone,10.0,"CC(C)C1=CC(=O)C(C)=CC1=O |c:8,t:3|"
VERO-1_1_AA25_4,VERO-1_1_AA25,VERO,VERO-1,1,AA25,4,Active SARS-CoV-2,Thymoquinone,10.0,"CC(C)C1=CC(=O)C(C)=CC1=O |c:8,t:3|"
VERO-1_1_AA26_1,VERO-1_1_AA26,VERO,VERO-1,1,AA26,1,Active SARS-CoV-2,methylprednisolone-sodium-succinate,0.3,"C[C@H]1CC2C3CC[C@](O)(C(=O)COC(=O)CCC(O)=O)[C@@]3(C)C[C@H](O)C2[C@@]2(C)C=CC(=O)C=C12 |r,c:30,t:34|"
VERO-1_1_AA26_2,VERO-1_1_AA26,VERO,VERO-1,1,AA26,2,Active SARS-CoV-2,methylprednisolone-sodium-succinate,0.3,"C[C@H]1CC2C3CC[C@](O)(C(=O)COC(=O)CCC(O)=O)[C@@]3(C)C[C@H](O)C2[C@@]2(C)C=CC(=O)C=C12 |r,c:30,t:34|"
VERO-1_1_AA26_3,VERO-1_1_AA26,VERO,VERO-1,1,AA26,3,Active SARS-CoV-2,methylprednisolone-sodium-succinate,0.3,"C[C@H]1CC2C3CC[C@](O)(C(=O)COC(=O)CCC(O)=O)[C@@]3(C)C[C@H](O)C2[C@@]2(C)C=CC(=O)C=C12 |r,c:30,t:34|"
VERO-1_1_AA26_4,VERO-1_1_AA26,VERO,VERO-1,1,AA26,4,Active SARS-CoV-2,methylprednisolone-sodium-succinate,0.3,"C[C@H]1CC2C3CC[C@](O)(C(=O)COC(=O)CCC(O)=O)[C@@]3(C)C[C@H](O)C2[C@@]2(C)C=CC(=O)C=C12 |r,c:30,t:34|"
VERO-1_1_AA27_1,VERO-1_1_AA27,VERO,VERO-1,1,AA27,1,Active SARS-CoV-2,Camostat,0.3,"CN(C)C(=O)COC(=O)CC1=CC=C(OC(=O)C2=CC=C(NC(N)=N)C=C2)C=C1 |c:25,28,t:10,12,17,19|"
VERO-1_1_AA27_2,VERO-1_1_AA27,VERO,VERO-1,1,AA27,2,Active SARS-CoV-2,Camostat,0.3,"CN(C)C(=O)COC(=O)CC1=CC=C(OC(=O)C2=CC=C(NC(N)=N)C=C2)C=C1 |c:25,28,t:10,12,17,19|"
VERO-1_1_AA27_3,VERO-1_1_AA27,VERO,VERO-1,1,AA27,3,Active SARS-CoV-2,Camostat,0.3,"CN(C)C(=O)COC(=O)CC1=CC=C(OC(=O)C2=CC=C(NC(N)=N)C=C2)C=C1 |c:25,28,t:10,12,17,19|"
VERO-1_1_AA27_4,VERO-1_1_AA27,VERO,VERO-1,1,AA27,4,Active SARS-CoV-2,Camostat,0.3,"CN(C)C(=O)COC(=O)CC1=CC=C(OC(=O)C2=CC=C(NC(N)=N)C=C2)C=C1 |c:25,28,t:10,12,17,19|"
VERO-1_1_AA28_1,VERO-1_1_AA28,VERO,VERO-1,1,AA28,1,Active SARS-CoV-2,Remdesivir (GS-5734),10.0,"CCC(CC)COC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@](C#N)([C@H](O)[C@@H]1O)C1=CC=C2N1N=CN=C2N)OC1=CC=CC=C1 |c:28,32,34,41,43,t:26,39|"
VERO-1_1_AA28_2,VERO-1_1_AA28,VERO,VERO-1,1,AA28,2,Active SARS-CoV-2,Remdesivir (GS-5734),10.0,"CCC(CC)COC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@](C#N)([C@H](O)[C@@H]1O)C1=CC=C2N1N=CN=C2N)OC1=CC=CC=C1 |c:28,32,34,41,43,t:26,39|"
VERO-1_1_AA28_3,VERO-1_1_AA28,VERO,VERO-1,1,AA28,3,Active SARS-CoV-2,Remdesivir (GS-5734),10.0,"CCC(CC)COC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@](C#N)([C@H](O)[C@@H]1O)C1=CC=C2N1N=CN=C2N)OC1=CC=CC=C1 |c:28,32,34,41,43,t:26,39|"
VERO-1_1_AA28_4,VERO-1_1_AA28,VERO,VERO-1,1,AA28,4,Active SARS-CoV-2,Remdesivir (GS-5734),10.0,"CCC(CC)COC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@](C#N)([C@H](O)[C@@H]1O)C1=CC=C2N1N=CN=C2N)OC1=CC=CC=C1 |c:28,32,34,41,43,t:26,39|"
VERO-1_1_AA29_1,VERO-1_1_AA29,VERO,VERO-1,1,AA29,1,Active SARS-CoV-2,Hydroxychloroquine Sulfate,100.0,"CCN(CCO)CCCC(C)NC1=CC=NC2=CC(Cl)=CC=C12 |c:14,19,t:12,16,21|"
