compound_id,name,HUVEC-1,smiles
3261,Cediranib,0.831533028,"COC1=C(OCCCN2CCCC2)C=C2N=CN=C(OC3=C(F)C4=C(NC(C)=C4)C=C3)C2=C1 |c:2,16,21,28,31,35,t:14,18,24|"
476,FIIN-2,0.828020669,"COC1=CC(=CC(OC)=C1)N1CC2=CN=C(NC3=CC=C(C=C3)N3CCN(C)CC3)N=C2N(CC2=CC=C(NC(=O)C=C)C=C2)C1=O |c:4,8,20,22,33,47,t:2,13,15,18,38,40|"
2970,AMG-458,0.815487551,"COC1=CC2=NC=CC(OC3=CN=C(NC(=O)C4=C(C)N(CC(C)(C)O)N(C4=O)C4=CC=CC=C4)C=C3)=C2C=C1 |c:6,17,32,34,37,39,42,t:2,4,10,12,30|"
2023,tolperisone,0.80908201,"C[C@@H](CN1CCCCC1)C(=O)C1=CC=C(C)C=C1 |&1:1,r,c:17,t:12,14|"
3628,Cabozantinib,0.804818981,"COC1=CC2=C(C=C1OC)C(OC1=CC=C(NC(=O)C3(CC3)C(=O)NC3=CC=C(F)C=C3)C=C1)=CC=N2 |c:4,6,32,35,37,39,t:2,13,15,27,29|"
1739,Albendazole,0.803582309,"CCCSC1=CC=C2N=C(NC(=O)OC)NC2=C1 |c:17,t:4,6,8|"
1927,Flubendazole,0.803004324,"COC(=O)NC1=NC2=C(N1)C=C(C=C2)C(=O)C1=CC=C(F)C=C1 |c:7,11,13,23,t:5,18,20|"
1452,miltefosine,0.798278738,"CCCCCCCCCCCCCCCCOP(O)(=O)OCC[N+](C)(C)C |&1:17,@@:17|"
9,Aloxistatin,0.328444103,CCOC(=O)C1OC1C(=O)NC(CC(C)C)C(=O)NCCC(C)C
180,anlotinib,0.774163443,"COC1=CC2=C(OC3=C(F)C4=C(NC(C)=C4)C=C3)C=CN=C2C=C1OCC1(N)CC1 |c:4,7,14,17,20,22,25,t:2,10|"
2274,silmitasertib,0.725957975,"OC(=O)C1=CC2=C(C=C1)C1=CN=CC=C1C(NC1=CC(Cl)=CC=C1)=N2 |c:5,7,12,14,22,24,26,t:3,10,19|"
2167,BMS-794833,0.751470543,"NC1=NC=CC(OC2=CC=C(NC(=O)C3=CNC=C(C3=O)C3=CC=C(F)C=C3)C=C2F)=C1Cl |c:3,17,27,30,33,t:1,7,9,14,22,24|"
373,Levodopa,0.73160636,"N[C@@H](CC1=CC(O)=C(O)C=C1)C(O)=O |c:9,t:3,6|"
2024,Peficitinb,0.729776569,"NC(=O)C1=CN=C2NC=CC2=C1NC1C2CC3CC1CC(O)(C3)C2 |c:8,11,t:3,5|"
757,CH5183284,0.721508612,"CC1=NC2=C(N1)C=C(C=C2)N1N=CC(C(=O)C2=CC3=CC=CC=C3N2)=C1N |c:3,7,9,13,22,24,28,t:1,18,20|"
3168,almitrine,-0.074506727,"FC1=CC=C(C=C1)C(N1CCN(CC1)C1=NC(NCC=C)=NC(NCC=C)=N1)C1=CC=C(F)C=C1 |c:3,5,22,28,36,t:1,16,31,33|"
3331,Mebendazole,0.720335421,"COC(=O)NC1=NC2=C(N1)C=C(C=C2)C(=O)C1=CC=CC=C1 |c:7,11,13,20,22,t:5,18|"
3257,Desoxycorticosterone pivalate,0.702635115,"CC(C)(C)C(=O)OCC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C |a:10,13,14,23,25,28,r,t:17|"
2340,PF-04691502,0.701308475,"COC1=CC=C(C=N1)C1=CC2=C(C)N=C(N)N=C2N([C@H]2CC[C@@H](CC2)OCCO)C1=O |r,c:4,6,11,17,t:2,9,14|"
948,GDC-0084,0.696012304,"CC1(C)OCCN2C1=NC1=C2N=C(N=C1N1CCOCC1)C1=CN=C(N)N=C1 |c:10,13,15,30,t:8,25,27|"
1502,GDC-0032,0.692049041,"CC(C)N1N=C(C)N=C1C1=CN2CCOC3=C(C=CC(=C3)C3=CN(N=C3)C(C)(C)C(N)=O)C2=N1 |c:7,18,20,26,36,t:4,10,16,23|"
2810,Enoximone,0.688796038,"CSC1=CC=C(C=C1)C(=O)C1=C(C)NC(=O)N1 |c:4,6,11,t:2|"
2325,Rapamycin,-0.901663833,"CO[C@@H]1C[C@H](C[C@@H](C)[C@@H]2CC(=O)[C@H](C)\C=C(C)\[C@@H](O)[C@H](OC)C(=O)[C@H](C)C[C@H](C)\C=C\C=C\C=C(C)\[C@H](C[C@@H]3CC[C@@H](C)[C@@](O)(O3)C(=O)C(=O)N3CCCC[C@H]3C(=O)O2)OC)CC[C@H]1O |c:14,33,t:29,31|"
2835,XL765,0.680844472,"COC1=CC(OC)=CC(NC2=NC3=CC=CC=C3N=C2NS(=O)(=O)C2=CC=C(NC(=O)C3=CC=C(C)C(OC)=C3)C=C2)=C1 |c:6,14,16,19,40,43,45,t:2,10,12,26,28,33,35|"
2650,PF-4989216,0.677422979,"FC1=C(C=CC(=C1)C#N)C1=C(SC(N2CCOCC2)=C1C#N)C1=NC=NN1 |c:3,5,20,27,t:1,10,25|"
300,Tenoxicam,0.676547259,"CN1C(C(=O)NC2=CC=CC=N2)=C(O)C2=C(C=CS2)S1(=O)=O |c:8,10,17,t:6,12,15|"
3576,Pamapimod,0.674886296,"CN1C(=O)C(OC2=C(F)C=C(F)C=C2)=CC2=CN=C(NC(CCO)CCO)N=C12 |c:6,12,14,t:9,16,18,28|"
1238,dimetridazole,0.660696569,"CN1C(C)=NC=C1[N+]([O-])=O |c:3,5|"
1363,propranolol,0.651760727,"CC(C)NC[C@H](O)COC1=CC=CC2=CC=CC=C12 |&1:5,r,c:11,15,t:9,13,17|"
2056,Biperiden,0.64953963,"OC(CCN1CCCCC1)(C1CC2CC1C=C2)C1=CC=CC=C1 |c:17,22,24,t:20|"
1933,BMS-777607,0.643383426,"CCOC1=C(C(=O)NC2=CC=C(OC3=CC=NC(N)=C3Cl)C(F)=C2)C(=O)N(C=C1)C1=CC=C(F)C=C1 |c:3,15,18,23,29,37,t:8,10,13,32,34|"
715,Peramivir,0.640896971,[H][C@@]1([C@@H](NC(C)=O)C(CC)CC)[C@H](O)[C@H](C[C@H]1NC(N)=N)C(O)=O
1477,Sotalol,0.639982724,"CC(C)NCC(O)C1=CC=C(NS(C)(=O)=O)C=C1 |c:16,t:7,9|"
1683,Fostamatinib,0.638994444,"COC1=CC(NC2=NC=C(F)C(NC3=CC=C4OC(C)(C)C(=O)N(COP(O)(O)=O)C4=N3)=N2)=CC(OC)=C1OC |c:31,33,35,39,t:2,6,8,13,15|"
198,Zotarolimus,-0.771809875,"[H][C@@]12CCCCN1C(=O)C(=O)[C@@]1(O)O[C@@H](CC[C@H]1C)C[C@H](OC)\C(C)=C\C=C\C=C\[C@@H](C)C[C@@H](C)C(=O)[C@H](OC)[C@H](O)\C(C)=C\[C@@H](C)C(=O)C[C@H](OC2=O)[C@H](C)C[C@@H]1CC[C@@H]([C@@H](C1)OC)N1C=NN=N1 |c:70,72,t:26,28,30,45|"
2791,"BIO-acetoxime, CC-4047",0.630037497,"CC(=O)O\N=C1\C(\NC2=CC=CC=C\12)=C1\C(=O)NC2=C1C=CC(Br)=C2 |c:10,20,23,26,t:8,12|"
2269,Calcipotriene,0.227005919,[H][C@@]1(CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)C[C@H](O)C1=C)[C@H](C)\C=C\[C@@H](O)C1CC1 |r|
2837,Ebselen,0.617148335,"O=C1N([Se]C2=CC=CC=C12)C1=CC=CC=C1 |c:6,14,16,t:4,8,12|"
2069,nifurtimox,0.615951884,"CC1CS(=O)(=O)CCN1N=CC1=CC=C(O1)[N+]([O-])=O |c:14,t:12|"
2773,Salmeterol,0.610908337,"OCC1=C(O)C=CC(=C1)C(O)CNCCCCCCOCCCCC1=CC=CC=C1 |c:2,5,7,27,29,t:25|"
3303,PS-1145,0.61069008,"ClC1=CC2=C(NC3=C2C=CN=C3)C(NC(=O)C2=CN=CC=C2)=C1 |c:6,9,11,20,22,24,t:1,3,18|"
582,Silodosin,0.60397349,"C[C@H](CC1=CC2=C(N(CCCO)CC2)C(=C1)C(N)=O)NCCOC1=CC=CC=C1OCC(F)(F)F |c:15,27,29,t:3,5,25|"
1804,Lenvatinib,0.603763335,"COC1=C(C=C2C(OC3=CC(Cl)=C(NC(=O)NC4CC4)C=C3)=CC=NC2=C1)C(N)=O |c:21,23,25,28,t:2,4,8,11|"
847,Duvelisib,0.497399746,"C[C@H](NC1=NC=NC2=C1N=CN2)C1=CC2=CC=CC(Cl)=C2C(=O)N1C1=CC=CC=C1 |c:5,7,10,18,21,30,32,t:3,14,16,28|"
1206,rifaximin,0.601742244,"CO[C@H]1C=CO[C@@]2(C)OC3=C(C)C(O)=C4C(O)=C(NC(=O)\C(C)=C/C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C)C1=C(N=C5C=C(C)C=CN15)C4=C3C2=O |a:2,6,26,28,30,32,34,36,41,r,c:9,22,24,51,57,t:13,16,44,46,48|"
1374,BMS-582949,0.601027013,"CCCNC(=O)C1=CN2N=CN=C(NC3=C(C)C=CC(=C3)C(=O)NC3CC3)C2=C1C |c:9,14,17,19,30,t:6,11|"
2999,Pacritinib,0.598796492,"C(CN1CCCC1)OC1=CC=C2NC3=NC=CC(=N3)C3=CC(COC\C=C\COCC1=C2)=CC=C3 |c:16,18,33,35,37,t:9,11,14,21,27|"
2051,clofazimine,-0.078746304,"CC(C)\N=C1/C=C2N(C3=CC=C(Cl)C=C3)C3=C(C=CC=C3)N=C2C=C1NC1=CC=C(Cl)C=C1 |c:13,18,20,23,26,35,t:5,8,10,16,30,32|"
1665,Peficitinib,0.586282818,"NC(=O)C1=C(N[C@H]2C3CC4CC2C[C@](O)(C4)C3)C2=C(NC=C2)N=C1 |r,c:3,23,26,t:20|"
3038,Tenofovir Disoproxil Fumarate,0.586169301,"CC(C)OC(=O)OCOP(=O)(CO[C@H](C)CN1C=NC2=C1N=CN=C2N)OCOC(=O)OC(C)C |r,c:17,19,22,24|"
1901,MK-0752,0.585685529,"OC(=O)CC[C@H]1CC[C@@](CC1)(C1=C(F)C=CC(F)=C1)S(=O)(=O)C1=CC=C(Cl)C=C1 |r,c:12,15,18,29,t:24,26|"
3074,Indirubin,0.580437246,"O=C1NC2=CC=CC=C2\C1=C1\NC2=C(C=CC=C2)C1=O |c:5,7,16,18,t:3,14|"
100,BMS-536924,0.579380597,"CC1=C2N=C(NC2=CC(=C1)N1CCOCC1)C1=C(NC[C@@H](O)C2=CC=CC(Cl)=C2)C=CNC1=O |c:1,3,7,9,19,27,30,33,t:25|"
870,paricalcitol,0.286353032,"C[C@H](\C=C\[C@H](C)C(C)(C)O)[C@H]1CC[C@H]2\C(CCC[C@]12C)=C\C=C1C[C@@H](O)C[C@H](O)C1 |a:1,4,10,13,18,24,27,r|"
830,Fenbendazole,0.574203267,"COC(=O)NC1=NC2=C(N1)C=C(SC1=CC=CC=C1)C=C2 |c:7,16,18,21,t:5,11,14|"
234,Grazoprevir,0.57211593,"COC1=CC2=NC3=C(CCCCC[C@@H]4C[C@H]4OC(=O)N[C@H](C(=O)N4C[C@@H](C[C@H]4C(=O)N[C@@]4(C[C@H]4C=C)C(=O)NS(=O)(=O)C4CC4)O3)C(C)(C)C)N=C2C=C1 |r,c:55,58,t:2,4,6|"
3295,Pergolide,0.571396016,"[H][C@@]12CC3=CNC4=C3C(=CC=C4)[C@@]1([H])C[C@H](CSC)CN2CCC |c:6,9,11,t:3|"
1571,Sitagliptin,0.570070221,"N[C@@H](CC(=O)N1CCN2C(C1)=NN=C2C(F)(F)F)CC1=C(F)C=C(F)C(F)=C1 |r,c:11,13,21,28,t:24|"
2522,Betrixaban,0.569220315,"COC1=CC=C(NC(=O)C2=CC=C(C=C2)C(=N)N(C)C)C(=C1)C(=O)NC1=NC=C(Cl)C=C1 |c:11,13,21,32,t:2,4,9,27,29|"
177,Indirubin-3'-monoxinme,0.569053676,"ONC1=C(NC2=CC=CC=C12)C1=C2C=CC=CC2=NC1=O |c:7,13,15,17,20,t:2,5,9|"
1852,Safinamide,0.564558096,"C[C@H](NCC1=CC=C(OCC2=CC(F)=CC=C2)C=C1)C(N)=O |c:13,15,18,t:4,6,10|"
1521,cloperastine,0.363426049,"ClC1=CC=C(C=C1)[C@@H](OCCN1CCCCC1)C1=CC=CC=C1 |&1:7,r,c:3,5,21,23,t:1,19|"
1883,Cinepazide,0.561115607,"COC1=CC(\C=C\C(=O)N2CCN(CC(=O)N3CCCC3)CC2)=CC(OC)=C1OC |c:24,28,t:2|"
3535,Dextromethorphan,0.560014751,"COC1=CC2=C(C[C@H]3[C@H]4CCCC[C@@]24CCN3C)C=C1 |c:21,t:2,4|"
2663,fleroxacin,0.559174889,"CN1CCN(CC1)C1=C(F)C2=C(C=C1F)C(=O)C(=CN2CCF)C(O)=O |c:8,11,13,19|"
1872,Gilteritinib,0.556057064,"CCC1=NC(C(N)=O)=C(NC2=CC=C(N3CCC(CC3)N3CCN(C)CC3)C(OC)=C2)N=C1NC1CCOCC1 |c:31,34,t:2,7,10,12|"
2888,Ravoxertinib,0.554600727,"CN1N=CC=C1NC1=NC=CC(=N1)C1=CC(=O)N(C=C1)C(CO)C1=CC(F)=C(Cl)C=C1 |c:2,4,10,12,20,32,t:8,15,26,29|"
3142,GSK1059615,0.551823481,"O=C1NC(=O)\C(S1)=C\C1=CC=C2N=CC=C(C3=CC=NC=C3)C2=C1 |c:13,19,21,25,t:9,11,15,17|"
1743,Dimethyl fumarate,0.550311776,COC(=O)\C=C\C(=O)OC
447,Tryptophan,0.548792642,"N[C@@H](CC1=CNC2=CC=CC=C12)C(O)=O |c:8,t:3,6,10|"
384,Mupirocin,0.545689567,[H][C@@]1(O[C@H]1C[C@@]1([H])CO[C@@H](C\C(C)=C\C(=O)OCCCCCCCCC(O)=O)[C@@H](O)[C@@H]1O)[C@@H](C)[C@H](C)O
3618,pralidoxime-chloride,0.545425071,"C[N+]1=C(CN=O)C=CC=C1 |c:1,6,8|"
525,Axitinib,0.540043675,"CNC(=O)C1=CC=CC=C1SC1=CC2=C(C=C1)C(\C=C\C1=CC=CC=N1)=NN2 |c:6,8,14,16,24,26,28,t:4,12,22|"
1269,Asenapine,0.537340169,"[H][C@]12CN(C)C[C@]1([H])C1=C(OC3=C2C=CC=C3)C=CC(Cl)=C1 |c:9,12,15,17,20,23|"
2220,sulfapyridine,0.535974409,"NC1=CC=C(C=C1)S(=O)(=O)NC1=NC=CC=C1 |c:3,5,14,16,t:1,12|"
2914,cholecalciferol,0.534346531,"CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C |a:6,8,11,16,22,r|"
549,enilconazole,0.533976415,"ClC1=CC(Cl)=C(C=C1)[C@H](CN1C=CN=C1)OCC=C |&1:8,r,c:4,6,12,14,t:1|"
2124,Dalbavancin,0.531900528,"CN[C@@H]1C2=CC=C(OC3=CC(O)=C(Cl)C(=C3)[C@@H]3NC(=O)[C@@H](CC4=CC=C(OC5=C(O[C@@H]6O[C@@H]([C@@H](O)[C@H](O)[C@H]6NC(=O)CCCCCCCCC(C)C)C(O)=O)C6=CC(=C5)[C@@H](NC3=O)C(=O)N[C@@H]3C5=CC=C(O)C(=C5)C5=C(C=C(O)C=C5O[C@H]5O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]5O)[C@H](NC(=O)[C@@H](NC3=O)[C@H](O)C3=CC(Cl)=C(O6)C=C3)C(=O)NCCCN(C)C)C=C4)NC1=O)C(O)=C2 |c:14,28,57,59,76,84,118,130,138,t:3,5,8,11,23,25,71,73,79,81,111,114|"
1833,Mafenide,0.53093511,"NCC1=CC=C(C=C1)S(N)(=O)=O |c:4,6,t:2|"
2248,ajmaline,0.529448079,"CC[C@H]1C2CC3[C@@H]4N(C)C5=C(C=CC=C5)[C@]44C[C@@H](C2C4O)N3[C@@H]1O |a:2,6,15,17,22,r,c:11,13,t:9,TLB:23:22:5.4:17.18,3:18:21.5.6:16,6:5:22.2:17.18,16:17:22.2:5.4,19:18:22.2:5.4,THB:1:2:5.4:17.18,20:19:21.5.6:16|"
2067,sulfabenzamide,0.528930638,"NC1=CC=C(C=C1)S(=O)(=O)NC(=O)C1=CC=CC=C1 |c:3,5,16,18,t:1,14|"
1475,Hexachlorophene,0.031359366,"OC1=C(CC2=C(Cl)C(Cl)=CC(Cl)=C2O)C(Cl)=C(Cl)C=C1Cl |c:1,4,8,11,19,t:16|"
2690,Bestatin,0.527497085,"CC(C)C[C@H](NC(=O)[C@@H](O)[C@H](N)CC1=CC=CC=C1)C(O)=O |c:15,17,t:13|"
1494,Propiverine hydrochloride,0.527377643,"CCCOC(C(=O)OC1CCN(C)CC1)(C1=CC=CC=C1)C1=CC=CC=C1 |c:18,20,25,27,t:16,23|"
3704,Racecadotril,0.525656336,"CC(=O)SCC(CC1=CC=CC=C1)C(=O)NCC(=O)OCC1=CC=CC=C1 |c:9,11,24,26,t:7,22|"
2300,Chlormadinone acetate,0.525232496,"CC(=O)O[C@@]1(CCC2C3C=C(Cl)C4=CC(=O)CC[C@]4(C)C3CC[C@]12C)C(C)=O |a:4,18,23,r,t:9,12|"
3305,faropenem,0.52500469,CC(O)C1C2SC(C3CCCO3)=C(N2C1=O)C(O)=O |c:12|
1538,Phloretin,0.524976376,"OC1=CC=C(CCC(=O)C2=C(O)C=C(O)C=C2O)C=C1 |c:9,15,19,t:1,3,12|"
1076,Vismodegib,0.270417376,"CS(=O)(=O)C1=CC=C(C(=O)NC2=CC(=C(Cl)C=C2)C2=NC=CC=C2)C(Cl)=C1 |c:16,21,23,27,t:4,6,11,13,19|"
1474,carvedilol,0.109542689,"COC1=C(OCCNC[C@H](O)COC2=C3C(NC4=C3C=CC=C4)=CC=C2)C=CC=C1 |&1:9,r,c:2,17,20,22,24,26,29,31,t:13|"
982,L-Citrulline,0.521608041,NC(CCCNC(N)=O)C(O)=O
1256,Tigecycline,0.520810238,"[H][C@@]12CC3=C(C(O)=C(NC(=O)CNC(C)(C)C)C=C3N(C)C)C(=O)C1=C(O)[C@]1(O)C(=O)C(C(N)=O)=C(O)[C@H](N(C)C)[C@]1([H])C2 |c:17,t:3,6,26,36|"
219,Migalastat,0.519960004,OC[C@H]1NC[C@H](O)[C@@H](O)[C@H]1O
375,Tazarotene,0.519771186,"CCOC(=O)C1=CN=C(C=C1)C#CC1=CC2=C(SCCC2(C)C)C=C1 |c:7,9,25,t:5,14,16|"
353,Amlexanox,0.518169796,"CC(C)C1=CC=C2OC3=NC(N)=C(C=C3C(=O)C2=C1)C(O)=O |c:11,13,19,t:3,5,8|"
3620,Cobimetinib,0.518027661,"OC1(CN(C1)C(=O)C1=C(NC2=CC=C(I)C=C2F)C(F)=C(F)C=C1)[C@@H]1CCCCN1 |r,c:8,16,24,t:11,13,21|"
2159,fenbufen,0.517293884,"OC(=O)CCC(=O)C1=CC=C(C=C1)C1=CC=CC=C1 |c:9,11,16,18,t:7,14|"
1054,CEP-33779,0.511232577,"CN1CCN(CC1)C1=CC=CC(NC2=NN3C=CC=C(C3=N2)C2=CC=C(C=C2)S(C)(=O)=O)=C1 |c:10,17,19,22,27,29,35,t:8,14,25|"
2201,Desipramine,0.511160384,"CNCCCN1C2=CC=CC=C2CCC2=CC=CC=C12 |c:8,10,17,t:6,15,19|"
1444,Sulfaphenazole,0.509285261,"NC1=CC=C(C=C1)S(=O)(=O)NC1=CC=NN1C1=CC=CC=C1 |c:3,5,14,20,22,t:1,12,18|"
1070,Adapalene,0.509185543,"COC1=C(C=C(C=C1)C1=CC2=C(C=C1)C=C(C=C2)C(O)=O)C12CC3CC(CC(C3)C1)C2 |c:4,6,11,13,16,18,t:2,9|"
2838,celiprolol,0.238353478,"CCN(CC)C(=O)NC1=CC(C(C)=O)=C(OCC(O)CNC(C)(C)C)C=C1 |c:25,t:8,13|"
2052,Ponatinib,-0.016668067,"CN1CCN(CC2=C(C=C(NC(=O)C3=CC(C#CC4=CN=C5C=CC=NN45)=C(C)C=C3)C=C2)C(F)(F)F)CC1 |c:22,24,31,34,t:6,8,13,18,20,28|"
3358,Guanfacine,0.507816967,"NC(=N)NC(=O)CC1=C(Cl)C=CC=C1Cl |c:7,10,12|"
3673,Obeticholic acid,0.316586568,[H][C@@]1(CC[C@@]2([H])[C@]3([H])[C@H](O)[C@H](CC)[C@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CCC(O)=O
2665,Palovarotene,0.506087947,"CC1(C)CCC(C)(C)C2=CC(\C=C\C3=CC=C(C=C3)C(O)=O)=C(CN3C=CC=N3)C=C12 |c:15,17,26,28,t:8,13,22,31|"
517,chloroxoquinoline,0.505769616,"OC1=C2C=CC(Cl)=CC2=NC=C1 |c:1,3,6,9,11|"
586,Salicylate,0.50570917,"OC(=O)C1=CC=CC=C1O |c:5,7,t:3|"
1845,Dacomitinib,0.505496677,"COC1=C(NC(=O)\C=C\CN2CCCCC2)C=C2C(NC3=CC(Cl)=C(F)C=C3)=NC=NC2=C1 |c:2,27,29,31,34,t:17,21,24|"
1026,Irsogladine,0.50310037,"NC1=NC(=NC(N)=N1)C1=C(Cl)C=CC(Cl)=C1 |c:3,6,9,12,15,t:1|"
3232,Nomegestrol acetate,0.502262697,"CC(=O)O[C@@]1(CC[C@H]2[C@@H]3C=C(C)C4=CC(=O)CC[C@@H]4[C@H]3CC[C@]12C)C(C)=O |a:4,7,8,18,19,22,r,t:9,12|"
3248,Guanidine,0.500754227,NC(N)=N
2370,Mifepristone,0.499959479,"[H][C@@]12CC[C@@](O)(C#CC)[C@@]1(C)C[C@H](C1=CC=C(C=C1)N(C)C)C1=C3CCC(=O)C=C3CC[C@@]21[H] |c:16,18,24,30,t:14|"
1368,ecabet,0.499732542,"CC(C)C1=C(C=C2C(CC[C@H]3[C@@](C)(CCC[C@]23C)C(O)=O)=C1)S(O)(=O)=O |a:10,11,16,r,c:5,22,t:3|"
622,rivaroxaban,0.499068157,"ClC1=CC=C(S1)C(=O)NC[C@H]1CN(C(=O)O1)C1=CC=C(C=C1)N1CCOCC1=O |&1:10,r,c:3,20,22,t:1,18|"
1848,everolimus,-0.86619848,"CO[C@@H]1C[C@H](C[C@H](C)[C@@H]2CC(=O)[C@H](C)\C=C(C)\[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)\C=C\C=C\C=C(C)\[C@H](C[C@@H]3CC[C@@H](C)[C@@](O)(O3)C(=O)C(=O)N3CCCC[C@H]3C(=O)O2)OC)CC[C@H]1OCCO |r,c:14,33,t:29,31|"
868,resorcinol,0.497039377,"OC1=CC(O)=CC=C1 |c:4,6,t:1|"
2804,cloranolol,0.177273051,"CC(C)(C)NCC(O)COC1=C(Cl)C=CC(Cl)=C1 |c:10,13,16|"
2626,Necrostatin-1,0.495903673,"CN1C(=S)NC(CC2=CNC3=CC=CC=C23)C1=O |c:12,t:7,10,14|"
3548,sparteine-sulfate,0.494960523,"C1CCN2C[C@H]3C[C@@H](CN4CCCC[C@H]34)[C@@H]2C1 |a:5,7,14,15,r|"
3135,Levobetaxolol,0.076161448,"CC(C)NC[C@H](O)COC1=CC=C(CCOCC2CC2)C=C1 |c:21,t:9,11|"
805,fludarabine-phosphate,0.494246171,"NC1=C2N=CN([C@@H]3O[C@H](COP(O)(O)=O)[C@@H](O)[C@@H]3O)C2=NC(F)=N1 |a:6,8,15,17,r,c:1,3,21,24|"
3563,teriflunomide,0.493081268,"CC(=O)[C@H](C#N)C(=O)NC1=CC=C(C=C1)C(F)(F)F |&1:3,r,c:11,13,t:9|"
471,hexaminolevulinate,0.491800518,CCCCCCOC(=O)CCC(=O)CN
821,penbutolol,-0.063893927,"CC(C)(C)NC[C@H](O)COC1=C(C=CC=C1)C1CCCC1 |a:6,r,c:12,14,t:10|"
